"loc","lon","lat","MATCHUP","MATCHUP.1","TIME","TV","tickets","Date","dt","rk","id"
"Navy-Marine Corps Memorial Stadium, Annapolis, MD",-76.5070716,38.9847806,"Air Force","@  Navy","12:00 PM","CBS","Tickets as low as $78","Saturday, October 21, 2023","2023-10-21",32,90
"Navy-Marine Corps Memorial Stadium, Annapolis, MD",-76.5070716,38.9847806,"UAB","@  Navy","3:30 PM","CBSSN","Tickets as low as $31","Saturday, November 11, 2023","2023-11-11",47,90
"Navy-Marine Corps Memorial Stadium, Annapolis, MD",-76.5070716,38.9847806,"Wagner","@  Navy","3:30 PM","CBSSN","Tickets as low as $20","Saturday, September 9, 2023","2023-09-09",9,90
"Navy-Marine Corps Memorial Stadium, Annapolis, MD",-76.5070716,38.9847806,"North Texas","@  Navy","3:30 PM","CBSSN","Tickets as low as $19","Saturday, October 7, 2023","2023-10-07",22,90
"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"Vanderbilt","@  Tennessee","TBD","","Tickets as low as $24","Saturday, November 25, 2023","2023-11-25",56,64
"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"South Carolina","@  Tennessee","TBD","","Tickets as low as $113","Saturday, September 30, 2023","2023-09-30",18,64
"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"Texas A&M","@  Tennessee","TBD","","Tickets as low as $109","Saturday, October 14, 2023","2023-10-14",27,64
"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"UTSA","@  Tennessee","TBD","","Tickets as low as $27","Saturday, September 23, 2023","2023-09-23",15,64
"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"UConn","@  Tennessee","TBD","","Tickets as low as $27","Saturday, November 4, 2023","2023-11-04",42,64
"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"Georgia","@  Tennessee","TBD","","Tickets as low as $238","Saturday, November 18, 2023","2023-11-18",52,64
"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"Austin Peay","@  Tennessee","TBD","","Tickets as low as $24","Saturday, September 9, 2023","2023-09-09",9,64
"Nippert Stadium, Cincinnati, OH",-84.516233,39.131219,"UCF","@  Cincinnati","TBD","","Tickets as low as $58","Saturday, November 4, 2023","2023-11-04",42,93
"Nippert Stadium, Cincinnati, OH",-84.516233,39.131219,"Baylor","@  Cincinnati","TBD","","Tickets as low as $69","Saturday, October 21, 2023","2023-10-21",32,93
"Nippert Stadium, Cincinnati, OH",-84.516233,39.131219,"Iowa State","@  Cincinnati","TBD","","Tickets as low as $49","Saturday, October 14, 2023","2023-10-14",27,93
"Nippert Stadium, Cincinnati, OH",-84.516233,39.131219,"Kansas","@  Cincinnati","TBD","","Tickets as low as $48","Saturday, November 25, 2023","2023-11-25",56,93
"Nippert Stadium, Cincinnati, OH",-84.516233,39.131219,"Oklahoma","@  Cincinnati","TBD","","Tickets as low as $173","Saturday, September 23, 2023","2023-09-23",15,93
"Nippert Stadium, Cincinnati, OH",-84.516233,39.131219,"Eastern Kentucky","@  Cincinnati","3:30 PM","BIG12|ESPN+","Tickets as low as $27","Saturday, September 2, 2023","2023-09-02",4,93
"Nippert Stadium, Cincinnati, OH",-84.516233,39.131219,"Miami (OH)","@  Cincinnati","7:00 PM","BIG12|ESPN+","Tickets as low as $28","Saturday, September 16, 2023","2023-09-16",12,93
"Nissan Stadium, Nashville, TN",-86.7712898,36.166479,"Virginia","@  Tennessee","12:00 PM","","Tickets as low as $72","Saturday, September 2, 2023","2023-09-02",4,72
"Notre Dame Stadium, Notre Dame, IN",-86.233916,41.6983981,"Wake Forest","@  Notre Dame","3:30 PM","NBC","Tickets as low as $53","Saturday, November 18, 2023","2023-11-18",52,124
"Notre Dame Stadium, Notre Dame, IN",-86.233916,41.6983981,"Central Michigan","@  Notre Dame","2:30 PM","Peacock","Tickets as low as $60","Saturday, September 16, 2023","2023-09-16",12,124
"Notre Dame Stadium, Notre Dame, IN",-86.233916,41.6983981,"USC","@  Notre Dame","7:30 PM","NBC","Tickets as low as $164","Saturday, October 14, 2023","2023-10-14",27,124
"Notre Dame Stadium, Notre Dame, IN",-86.233916,41.6983981,"Pittsburgh","@  Notre Dame","3:30 PM","NBC","Tickets as low as $69","Saturday, October 28, 2023","2023-10-28",37,124
"Notre Dame Stadium, Notre Dame, IN",-86.233916,41.6983981,"Tennessee State","@  Notre Dame","3:30 PM","NBC","Tickets as low as $47","Saturday, September 2, 2023","2023-09-02",4,124
"Notre Dame Stadium, Notre Dame, IN",-86.233916,41.6983981,"Ohio State","@  Notre Dame","7:30 PM","NBC","Tickets as low as $374","Saturday, September 23, 2023","2023-09-23",15,124
"NRG Stadium, Houston, TX",-95.4107074,29.6847219,"Air Force","@  Sam Houston","8:00 PM","CBSSN","Tickets as low as $15","Saturday, September 9, 2023","2023-09-09",9,10
"Ohio Stadium, Columbus, OH",-83.0197277,40.0016627,"Minnesota","@  Ohio State","TBD","","Tickets as low as $83","Saturday, November 18, 2023","2023-11-18",52,103
"Ohio Stadium, Columbus, OH",-83.0197277,40.0016627,"Western Kentucky","@  Ohio State","4:00 PM","FOX","Tickets as low as $44","Saturday, September 16, 2023","2023-09-16",12,103
"Ohio Stadium, Columbus, OH",-83.0197277,40.0016627,"Youngstown State","@  Ohio State","12:00 PM","BTN","Tickets as low as $47","Saturday, September 9, 2023","2023-09-09",9,103
"Ohio Stadium, Columbus, OH",-83.0197277,40.0016627,"Penn State","@  Ohio State","TBD","","Tickets as low as $170","Saturday, October 21, 2023","2023-10-21",32,103
"Ohio Stadium, Columbus, OH",-83.0197277,40.0016627,"Maryland","@  Ohio State","TBD","","Tickets as low as $93","Saturday, October 7, 2023","2023-10-07",22,103
"Ohio Stadium, Columbus, OH",-83.0197277,40.0016627,"Michigan State","@  Ohio State","7:30 PM","NBC","Tickets as low as $121","Saturday, November 11, 2023","2023-11-11",47,103
"Peden Stadium, Athens, OH",-82.1029537,39.3210165,"Western Michigan","@  Ohio","TBD","","Tickets as low as $18","Saturday, October 21, 2023","2023-10-21",32,96
"Peden Stadium, Athens, OH",-82.1029537,39.3210165,"Miami (OH)","@  Ohio","TBD","","Tickets as low as $23","Saturday, October 28, 2023","2023-10-28",37,96
"Peden Stadium, Athens, OH",-82.1029537,39.3210165,"Kent State","@  Ohio","TBD","","Tickets as low as $23","Saturday, October 7, 2023","2023-10-07",22,96
"Peden Stadium, Athens, OH",-82.1029537,39.3210165,"Long Island University","@  Ohio","2:00 PM","","Tickets as low as $16","Saturday, September 2, 2023","2023-09-02",4,96
"Peden Stadium, Athens, OH",-82.1029537,39.3210165,"Iowa State","@  Ohio","12:00 PM","","Tickets as low as $35","Saturday, September 16, 2023","2023-09-16",12,96
"Peden Stadium, Athens, OH",-82.1029537,39.3210165,"Central Michigan","@  Ohio","7:00 PM",NA,"Tickets as low as $14","Wednesday, November 15, 2023","2023-11-15",49,96
"Pratt  Whitney Stadium, East Hartford, CT",-73.9629858,40.6913844,"Florida International","@  UConn","3:30 PM","CBSSN","Tickets as low as $6","Saturday, September 16, 2023","2023-09-16",12,112
"Pratt  Whitney Stadium, East Hartford, CT",-73.9629858,40.6913844,"Duke","@  UConn","3:30 PM","CBSSN","Tickets as low as $14","Saturday, September 23, 2023","2023-09-23",15,112
"Pratt  Whitney Stadium, East Hartford, CT",-73.9629858,40.6913844,"South Florida","@  UConn","3:30 PM","CBSSN","Tickets as low as $11","Saturday, October 21, 2023","2023-10-21",32,112
"Pratt  Whitney Stadium, East Hartford, CT",-73.9629858,40.6913844,"Utah State","@  UConn","12:00 PM","CBSSN","Tickets as low as $8","Saturday, September 30, 2023","2023-09-30",18,112
"Pratt  Whitney Stadium, East Hartford, CT",-73.9629858,40.6913844,"NC State","@  UConn","7:30 PM","CBSSN","Tickets as low as $25","Thursday, August 31, 2023","2023-08-31",2,112
"Pratt  Whitney Stadium, East Hartford, CT",-73.9629858,40.6913844,"Sacred Heart","@  UConn","12:00 PM","","Tickets as low as $8","Saturday, November 18, 2023","2023-11-18",52,112
"Protective Stadium, Birmingham, AL",-86.8091966,33.5277899,"Temple","@  UAB","TBD","","Tickets as low as $36","Saturday, November 18, 2023","2023-11-18",52,41
"Protective Stadium, Birmingham, AL",-86.8091966,33.5277899,"North Carolina A&T","@  UAB","8:00 PM","","Tickets as low as $36","Thursday, August 31, 2023","2023-08-31",2,41
"Protective Stadium, Birmingham, AL",-86.8091966,33.5277899,"Louisiana","@  UAB","7:00 PM","","Tickets as low as $36","Saturday, September 16, 2023","2023-09-16",12,41
"Protective Stadium, Birmingham, AL",-86.8091966,33.5277899,"South Florida","@  UAB","TBD","","Tickets as low as $51","Saturday, October 7, 2023","2023-10-07",22,41
"Protective Stadium, Birmingham, AL",-86.8091966,33.5277899,"Memphis","@  UAB","TBD","","Tickets as low as $51","Saturday, October 21, 2023","2023-10-21",32,41
"Protective Stadium, Birmingham, AL",-86.8091966,33.5277899,"Florida Atlantic","@  UAB","TBD","","Tickets as low as $36","Saturday, November 4, 2023","2023-11-04",42,41
"Raymond James Stadium, Tampa, FL",-82.5033344,27.9758691,"Charlotte","@  South Florida","TBD","","Tickets as low as $8","Saturday, November 25, 2023","2023-11-25",56,5
"Raymond James Stadium, Tampa, FL",-82.5033344,27.9758691,"Florida Atlantic","@  South Florida","TBD","","Tickets as low as $8","Saturday, October 14, 2023","2023-10-14",27,5
"Raymond James Stadium, Tampa, FL",-82.5033344,27.9758691,"Florida A&M","@  South Florida","7:00 PM","","Tickets as low as $8","Saturday, September 9, 2023","2023-09-09",9,5
"Raymond James Stadium, Tampa, FL",-82.5033344,27.9758691,"Alabama","@  South Florida","3:30 PM","","Tickets as low as $34","Saturday, September 16, 2023","2023-09-16",12,5
"Raymond James Stadium, Tampa, FL",-82.5033344,27.9758691,"Temple","@  South Florida","TBD","","Tickets as low as $8","Saturday, November 11, 2023","2023-11-11",47,5
"Raymond James Stadium, Tampa, FL",-82.5033344,27.9758691,"Rice","@  South Florida","TBD","","Tickets as low as $8","Saturday, September 23, 2023","2023-09-23",15,5
"Razorback Stadium, Fayetteville, AR",-94.1789239,36.0680503,"Mississippi State","@  Arkansas","TBD","","Tickets as low as $39","Saturday, October 21, 2023","2023-10-21",32,66
"Razorback Stadium, Fayetteville, AR",-94.1789239,36.0680503,"Florida International","@  Arkansas","TBD","","Tickets as low as $9","Saturday, November 18, 2023","2023-11-18",52,66
"Razorback Stadium, Fayetteville, AR",-94.1789239,36.0680503,"Missouri","@  Arkansas","4:00 PM","CBS","Tickets as low as $29","Friday, November 24, 2023","2023-11-24",55,66
"Razorback Stadium, Fayetteville, AR",-94.1789239,36.0680503,"Kent State","@  Arkansas","4:00 PM","","Tickets as low as $14","Saturday, September 9, 2023","2023-09-09",9,66
"Razorback Stadium, Fayetteville, AR",-94.1789239,36.0680503,"Auburn","@  Arkansas","TBD","","Tickets as low as $47","Saturday, November 11, 2023","2023-11-11",47,66
"Razorback Stadium, Fayetteville, AR",-94.1789239,36.0680503,"BYU","@  Arkansas","7:30 PM","","Tickets as low as $51","Saturday, September 16, 2023","2023-09-16",12,66
"Reser Stadium, Corvallis, OR",-123.2813934,44.5595386,"San Diego State","@  Oregon State","7:30 PM","FS1","Tickets as low as $48","Saturday, September 16, 2023","2023-09-16",12,144
"Reser Stadium, Corvallis, OR",-123.2813934,44.5595386,"UC Davis","@  Oregon State","9:00 PM","PAC12","Tickets as low as $38","Saturday, September 9, 2023","2023-09-09",9,144
"Reser Stadium, Corvallis, OR",-123.2813934,44.5595386,"Utah","@  Oregon State","9:00 PM","FS1","Tickets as low as $62","Friday, September 29, 2023","2023-09-29",17,144
"Reser Stadium, Corvallis, OR",-123.2813934,44.5595386,"Washington","@  Oregon State","TBD","","Tickets as low as $65","Saturday, November 18, 2023","2023-11-18",52,144
"Reser Stadium, Corvallis, OR",-123.2813934,44.5595386,"UCLA","@  Oregon State","TBD","","Tickets as low as $80","Saturday, October 14, 2023","2023-10-14",27,144
"Reser Stadium, Corvallis, OR",-123.2813934,44.5595386,"Stanford","@  Oregon State","TBD","","Tickets as low as $53","Saturday, November 11, 2023","2023-11-11",47,144
"Riccardo Silva Stadium, Miami, FL",-80.3778939,25.7525026,"Maine","@  Florida International","6:30 PM","","Tickets as low as $6","Saturday, September 2, 2023","2023-09-02",4,2
"Riccardo Silva Stadium, Miami, FL",-80.3778939,25.7525026,"North Texas","@  Florida International","6:30 PM","","Tickets as low as $8","Saturday, September 9, 2023","2023-09-09",9,2
"Riccardo Silva Stadium, Miami, FL",-80.3778939,25.7525026,"Western Kentucky","@  Florida International","TBD","","Tickets as low as $8","Saturday, November 25, 2023","2023-11-25",56,2
"Riccardo Silva Stadium, Miami, FL",-80.3778939,25.7525026,"Jacksonville State","@  Florida International","7:00 PM","CBSSN","Tickets as low as $16","Wednesday, October 25, 2023","2023-10-25",34,2
"Riccardo Silva Stadium, Miami, FL",-80.3778939,25.7525026,"UTEP","@  Florida International","7:30 PM","","Tickets as low as $8","Wednesday, October 11, 2023","2023-10-11",24,2
"Riccardo Silva Stadium, Miami, FL",-80.3778939,25.7525026,"Liberty","@  Florida International","TBD","","Tickets as low as $11","Saturday, September 23, 2023","2023-09-23",15,2
"Rice Stadium, Houston, TX",-95.4093113,29.7162887,"Florida Atlantic","@  Rice","TBD","","Tickets as low as $21","Saturday, November 25, 2023","2023-11-25",56,11
"Rice Stadium, Houston, TX",-95.4093113,29.7162887,"Tulane","@  Rice","TBD","","Tickets as low as $38","Saturday, October 28, 2023","2023-10-28",37,11
"Rice Stadium, Houston, TX",-95.4093113,29.7162887,"UConn","@  Rice","TBD","","Tickets as low as $29","Saturday, October 7, 2023","2023-10-07",22,11
"Rice Stadium, Houston, TX",-95.4093113,29.7162887,"East Carolina","@  Rice","TBD","","Tickets as low as $29","Saturday, September 30, 2023","2023-09-30",18,11
"Rice Stadium, Houston, TX",-95.4093113,29.7162887,"Houston","@  Rice","TBD","","Tickets as low as $57","Saturday, September 9, 2023","2023-09-09",9,11
"Rice Stadium, Houston, TX",-95.4093113,29.7162887,"SMU","@  Rice","TBD","","Tickets as low as $34","Saturday, November 4, 2023","2023-11-04",42,11
"Rice Stadium, Houston, TX",-95.4093113,29.7162887,"Texas Southern","@  Rice","7:00 PM","","Tickets as low as $29","Saturday, September 16, 2023","2023-09-16",12,11
"Rice-Eccles Stadium, Salt Lake City, UT",-111.8490319,40.75975,"Colorado","@  Utah","TBD","","Tickets as low as $71","Saturday, November 25, 2023","2023-11-25",56,113
"Rice-Eccles Stadium, Salt Lake City, UT",-111.8490319,40.75975,"Florida","@  Utah","8:00 PM","","Tickets as low as $164","Thursday, August 31, 2023","2023-08-31",2,113
"Rice-Eccles Stadium, Salt Lake City, UT",-111.8490319,40.75975,"Weber State","@  Utah","2:00 PM","PAC12","Tickets as low as $27","Saturday, September 16, 2023","2023-09-16",12,113
"Rice-Eccles Stadium, Salt Lake City, UT",-111.8490319,40.75975,"UCLA","@  Utah","TBD","","Tickets as low as $76","Saturday, September 23, 2023","2023-09-23",15,113
"Rice-Eccles Stadium, Salt Lake City, UT",-111.8490319,40.75975,"California","@  Utah","TBD","","Tickets as low as $39","Saturday, October 14, 2023","2023-10-14",27,113
"Rice-Eccles Stadium, Salt Lake City, UT",-111.8490319,40.75975,"Arizona State","@  Utah","TBD","","Tickets as low as $38","Saturday, November 4, 2023","2023-11-04",42,113
"Rice-Eccles Stadium, Salt Lake City, UT",-111.8490319,40.75975,"Oregon","@  Utah","TBD","","Tickets as low as $105","Saturday, October 28, 2023","2023-10-28",37,113
"Rose Bowl, Pasadena, CA",-118.1676462,34.1613284,"Arizona State","@  UCLA","TBD","","Tickets as low as $44","Saturday, November 11, 2023","2023-11-11",47,50
"Rose Bowl, Pasadena, CA",-118.1676462,34.1613284,"Washington State","@  UCLA","TBD","","Tickets as low as $43","Saturday, October 7, 2023","2023-10-07",22,50
"Rose Bowl, Pasadena, CA",-118.1676462,34.1613284,"North Carolina Central","@  UCLA","5:00 PM","","Tickets as low as $34","Saturday, September 16, 2023","2023-09-16",12,50
"Rose Bowl, Pasadena, CA",-118.1676462,34.1613284,"California","@  UCLA","TBD","","Tickets as low as $43","Saturday, November 25, 2023","2023-11-25",56,50
"Rose Bowl, Pasadena, CA",-118.1676462,34.1613284,"Colorado","@  UCLA","TBD","","Tickets as low as $96","Saturday, October 28, 2023","2023-10-28",37,50
"Rose Bowl, Pasadena, CA",-118.1676462,34.1613284,"Coastal Carolina","@  UCLA","10:30 PM","","Tickets as low as $34","Saturday, September 2, 2023","2023-09-02",4,50
"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Wisconsin","@  Purdue","7:00 PM","FS1","Tickets as low as $31","Friday, September 22, 2023","2023-09-22",14,108
"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Minnesota","@  Purdue","TBD","","Tickets as low as $18","Saturday, November 11, 2023","2023-11-11",47,108
"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Syracuse","@  Purdue","7:30 PM","NBC","Tickets as low as $18","Saturday, September 16, 2023","2023-09-16",12,108
"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Fresno State","@  Purdue","12:00 PM","BTN","Tickets as low as $14","Saturday, September 2, 2023","2023-09-02",4,108
"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Indiana","@  Purdue","TBD","","Tickets as low as $33","Saturday, November 25, 2023","2023-11-25",56,108
"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Ohio State","@  Purdue","TBD","","Tickets as low as $65","Saturday, October 14, 2023","2023-10-14",27,108
"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Illinois","@  Purdue","TBD","","Tickets as low as $20","Saturday, September 30, 2023","2023-09-30",18,108
"Ryan Field, Evanston, IL",-87.6924946,42.0654464,"Purdue","@  Northwestern","TBD","","Tickets as low as $47","Saturday, November 18, 2023","2023-11-18",52,129
"Ryan Field, Evanston, IL",-87.6924946,42.0654464,"Penn State","@  Northwestern","TBD","","Tickets as low as $74","Saturday, September 30, 2023","2023-09-30",18,129
"Ryan Field, Evanston, IL",-87.6924946,42.0654464,"UTEP","@  Northwestern","3:30 PM","BTN","Tickets as low as $25","Saturday, September 9, 2023","2023-09-09",9,129
"Ryan Field, Evanston, IL",-87.6924946,42.0654464,"Howard","@  Northwestern","TBD","","Tickets as low as $17","Saturday, October 7, 2023","2023-10-07",22,129
"Ryan Field, Evanston, IL",-87.6924946,42.0654464,"Minnesota","@  Northwestern","TBD","","Tickets as low as $40","Saturday, September 23, 2023","2023-09-23",15,129
"Ryan Field, Evanston, IL",-87.6924946,42.0654464,"Maryland","@  Northwestern","TBD","","Tickets as low as $35","Saturday, October 28, 2023","2023-10-28",37,129
"Rynearson Stadium, Ypsilanti, MI",-83.6473825,42.255885,"Kent State","@  Eastern Michigan","TBD","","Tickets as low as $36","Saturday, October 14, 2023","2023-10-14",27,131
"Rynearson Stadium, Ypsilanti, MI",-83.6473825,42.255885,"Western Michigan","@  Eastern Michigan","TBD","","Tickets as low as $37","Saturday, October 28, 2023","2023-10-28",37,131
"Rynearson Stadium, Ypsilanti, MI",-83.6473825,42.255885,"Howard","@  Eastern Michigan","6:30 PM","","Tickets as low as $36","Friday, September 1, 2023","2023-09-01",3,131
"Rynearson Stadium, Ypsilanti, MI",-83.6473825,42.255885,"UMass","@  Eastern Michigan","2:00 PM","","Tickets as low as $36","Saturday, September 16, 2023","2023-09-16",12,131
"Rynearson Stadium, Ypsilanti, MI",-83.6473825,42.255885,"Akron","@  Eastern Michigan","TBD",NA,"Tickets as low as $31","Tuesday, November 14, 2023","2023-11-14",48,131
"Rynearson Stadium, Ypsilanti, MI",-83.6473825,42.255885,"Ball State","@  Eastern Michigan","TBD","","Tickets as low as $36","Saturday, October 7, 2023","2023-10-07",22,131
"S.B. Ballard Stadium, Norfolk, VA",-76.3048892,36.8889026,"Wake Forest","@  Old Dominion","12:00 PM","","Tickets as low as $53","Saturday, September 16, 2023","2023-09-16",12,75
"S.B. Ballard Stadium, Norfolk, VA",-76.3048892,36.8889026,"Appalachian State","@  Old Dominion","TBD","","Tickets as low as $38","Saturday, October 21, 2023","2023-10-21",32,75
"S.B. Ballard Stadium, Norfolk, VA",-76.3048892,36.8889026,"Louisiana","@  Old Dominion","6:00 PM","","Tickets as low as $23","Saturday, September 9, 2023","2023-09-09",9,75
"S.B. Ballard Stadium, Norfolk, VA",-76.3048892,36.8889026,"Coastal Carolina","@  Old Dominion","TBD","","Tickets as low as $23","Saturday, November 4, 2023","2023-11-04",42,75
"S.B. Ballard Stadium, Norfolk, VA",-76.3048892,36.8889026,"Texas A&M-Commerce","@  Old Dominion","3:30 PM","","Tickets as low as $14","Saturday, September 23, 2023","2023-09-23",15,75
"S.B. Ballard Stadium, Norfolk, VA",-76.3048892,36.8889026,"Georgia State","@  Old Dominion","TBD","","Tickets as low as $23","Saturday, November 25, 2023","2023-11-25",56,75
"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"Ole Miss","@  Georgia","TBD","","Tickets as low as $204","Saturday, November 11, 2023","2023-11-11",47,47
"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"Kentucky","@  Georgia","TBD","","Tickets as low as $174","Saturday, October 7, 2023","2023-10-07",22,47
"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"Ball State","@  Georgia","12:00 PM","","Tickets as low as $52","Saturday, September 9, 2023","2023-09-09",9,47
"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"South Carolina","@  Georgia","3:30 PM","CBS","Tickets as low as $175","Saturday, September 16, 2023","2023-09-16",12,47
"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"UT Martin","@  Georgia","6:00 PM","","Tickets as low as $69","Saturday, September 2, 2023","2023-09-02",4,47
"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"Missouri","@  Georgia","TBD","","Tickets as low as $111","Saturday, November 4, 2023","2023-11-04",42,47
"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"UAB","@  Georgia","TBD","","Tickets as low as $61","Saturday, September 23, 2023","2023-09-23",15,47
"Scheumann Stadium, Muncie, IN",-85.416841,40.2159465,"Miami (OH)","@  Ball State","TBD","","Tickets as low as $61","Saturday, November 25, 2023","2023-11-25",56,106
"Scheumann Stadium, Muncie, IN",-85.416841,40.2159465,"Central Michigan","@  Ball State","TBD","","Tickets as low as $61","Saturday, October 21, 2023","2023-10-21",32,106
"Scheumann Stadium, Muncie, IN",-85.416841,40.2159465,"Toledo","@  Ball State","TBD","","Tickets as low as $61","Saturday, October 14, 2023","2023-10-14",27,106
"Scheumann Stadium, Muncie, IN",-85.416841,40.2159465,"Indiana State","@  Ball State","2:00 PM","","Tickets as low as $61","Saturday, September 16, 2023","2023-09-16",12,106
"Scheumann Stadium, Muncie, IN",-85.416841,40.2159465,"Georgia Southern","@  Ball State","TBD","","Tickets as low as $61","Saturday, September 23, 2023","2023-09-23",15,106
"Scheumann Stadium, Muncie, IN",-85.416841,40.2159465,"Kent State","@  Ball State","TBD","","Tickets as low as $61","Saturday, November 18, 2023","2023-11-18",52,106
"Scott Stadium, Charlottesville, VA",-78.5136879,38.0311032,"NC State","@  Virginia","7:30 PM","","Tickets as low as $35","Friday, September 22, 2023","2023-09-22",14,83
"Scott Stadium, Charlottesville, VA",-78.5136879,38.0311032,"James Madison","@  Virginia","12:00 PM","","Tickets as low as $46","Saturday, September 9, 2023","2023-09-09",9,83
"Scott Stadium, Charlottesville, VA",-78.5136879,38.0311032,"Virginia Tech","@  Virginia","TBD","","Tickets as low as $65","Saturday, November 25, 2023","2023-11-25",56,83
"Scott Stadium, Charlottesville, VA",-78.5136879,38.0311032,"Duke","@  Virginia","TBD","","Tickets as low as $33","Saturday, November 18, 2023","2023-11-18",52,83
"Scott Stadium, Charlottesville, VA",-78.5136879,38.0311032,"William & Mary","@  Virginia","TBD","","Tickets as low as $24","Saturday, October 7, 2023","2023-10-07",22,83
"Scott Stadium, Charlottesville, VA",-78.5136879,38.0311032,"Georgia Tech","@  Virginia","TBD","","Tickets as low as $33","Saturday, November 4, 2023","2023-11-04",42,83
"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Illinois","@  Maryland","TBD","","Tickets as low as $11","Saturday, October 14, 2023","2023-10-14",27,91
"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Virginia","@  Maryland","7:00 PM","FS1","Tickets as low as $19","Friday, September 15, 2023","2023-09-15",11,91
"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Charlotte","@  Maryland","7:30 PM","NBC","Tickets as low as $7","Saturday, September 9, 2023","2023-09-09",9,91
"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Penn State","@  Maryland","TBD","","Tickets as low as $52","Saturday, November 4, 2023","2023-11-04",42,91
"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Michigan","@  Maryland","TBD","","Tickets as low as $74","Saturday, November 18, 2023","2023-11-18",52,91
"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Indiana","@  Maryland","TBD","","Tickets as low as $13","Saturday, September 30, 2023","2023-09-30",18,91
"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Towson","@  Maryland","3:30 PM","BTN","Tickets as low as $5","Saturday, September 2, 2023","2023-09-02",4,91
"SHI Stadium, Piscataway, NJ",-74.4652778,40.5136111,"Maryland","@  Rutgers","TBD","","Tickets as low as $25","Saturday, November 25, 2023","2023-11-25",56,110
"SHI Stadium, Piscataway, NJ",-74.4652778,40.5136111,"Ohio State","@  Rutgers","TBD","","Tickets as low as $74","Saturday, November 4, 2023","2023-11-04",42,110
"SHI Stadium, Piscataway, NJ",-74.4652778,40.5136111,"Temple","@  Rutgers","TBD","","Tickets as low as $25","Saturday, September 9, 2023","2023-09-09",9,110
"SHI Stadium, Piscataway, NJ",-74.4652778,40.5136111,"Virginia Tech","@  Rutgers","TBD","","Tickets as low as $62","Saturday, September 16, 2023","2023-09-16",12,110
"SHI Stadium, Piscataway, NJ",-74.4652778,40.5136111,"Wagner","@  Rutgers","TBD","","Tickets as low as $20","Saturday, September 30, 2023","2023-09-30",18,110
"SHI Stadium, Piscataway, NJ",-74.4652778,40.5136111,"Michigan State","@  Rutgers","TBD","","Tickets as low as $34","Saturday, October 14, 2023","2023-10-14",27,110
"SHI Stadium, Piscataway, NJ",-74.4652778,40.5136111,"Northwestern","@  Rutgers","12:00 PM","CBS","Tickets as low as $28","Sunday, September 3, 2023","2023-09-03",5,110
"Simmons Bank Liberty Stadium, Memphis, TN",-89.9774275,35.1210966,"South Florida","@  Memphis","TBD","","Tickets as low as $19","Saturday, November 4, 2023","2023-11-04",42,55
"Simmons Bank Liberty Stadium, Memphis, TN",-89.9774275,35.1210966,"Bethune-Cookman","@  Memphis","7:00 PM","","Tickets as low as $19","Saturday, September 2, 2023","2023-09-02",4,55
"Simmons Bank Liberty Stadium, Memphis, TN",-89.9774275,35.1210966,"Tulane","@  Memphis","7:00 PM","","Tickets as low as $25","Friday, October 13, 2023","2023-10-13",26,55
"Simmons Bank Liberty Stadium, Memphis, TN",-89.9774275,35.1210966,"Navy","@  Memphis","7:30 PM",NA,"Tickets as low as $20","Thursday, September 14, 2023","2023-09-14",10,55
"Simmons Bank Liberty Stadium, Memphis, TN",-89.9774275,35.1210966,"Boise State","@  Memphis","TBD","","Tickets as low as $26","Saturday, September 30, 2023","2023-09-30",18,55
"Simmons Bank Liberty Stadium, Memphis, TN",-89.9774275,35.1210966,"SMU","@  Memphis","TBD","","Tickets as low as $19","Saturday, November 18, 2023","2023-11-18",52,55
